"Colour","Name","Price","size6","size8","size10","size12","size14","size16","size18","Date"
"Blues","Sasha Bow Maxi Dress Sl",195,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Blues","Sasha Bow Maxi Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Blues","Sasha Bow Maxi Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Blues","Sasha Bow Maxi Dress Sl",195,"in stock","in stock","in stock","in stock","in stock","low stock","low stock","a_Feb_16"
"Pinks","Lori Lee Lace Maxi Dress",185,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Millana-May Spot Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Dorian Stripe Skirt Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Brea Floral Stripe Dress",169,"not in stock","not in stock","low stock","low stock","low stock","low stock","not in stock","a_Feb_16"
"Other","Palma Print Desdemona Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","a_Feb_16"
"Pinks","Claudette Crepe Dress Petite",129,"low stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Other","Dorian Stripe Dress Petite",149,"low stock","in stock","in stock","in stock","in stock","low stock","low stock","a_Feb_16"
"Black","Donna Crepe Dress",119,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Floral Stripe Millana Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Alessia Jacquard Dress",195,"in stock","low stock","not in stock","low stock","in stock","not in stock","in stock","a_Feb_16"
"Pinks","Rosita Lace Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Blues","Camille Short Dress",95,"in stock","in stock","in stock","in stock","in stock","low stock","in stock","a_Feb_16"
"Other","Gressia Lace Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Naturals","Embellished Roccabella Dress",225,"in stock","in stock","in stock","in stock","low stock","in stock","in stock","a_Feb_16"
"Other","Maralynn Stripe Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Giugletta Printed Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Pinks","Corwin Hi Low Maxi Dress",119,"in stock","in stock","in stock","in stock","in stock","not in stock","not in stock","a_Feb_16"
"Pinks","Darianna Embroidered Dress",149,"in stock","in stock","in stock","in stock","in stock","low stock","low stock","a_Feb_16"
"Greys","Lori Arlie Embellished Maxi",195,"in stock","low stock","not in stock","not in stock","not in stock","not in stock","in stock","a_Feb_16"
"Yellows","Delia Lace Maxi",195,"in stock","in stock","in stock","in stock","in stock","not in stock","in stock","a_Feb_16"
"Metallics","Delia Lace Maxi",195,"in stock","in stock","in stock","in stock","not in stock","not in stock","low stock","a_Feb_16"
"Yellows","Postella Textured Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Yellows","Corwin Hi Low Maxi Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Reds","Corwin Hi Low Maxi Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","a_Feb_16"
"Purples Lilacs","Lori May Maxi Dress Sl",189,"in stock","in stock","in stock","in stock","in stock","low stock","not in stock","a_Feb_16"
"Pinks","Claudette Crepe Dress",129,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Henley Print Harmony Dress",89,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Pippa Polka Dot Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Arezzo Print Harmony Dress",89,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Reds","Lauren Bow Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Greens","Donna Crepe Dress Petite",119,"low stock","in stock","in stock","in stock","in stock","in stock","low stock","a_Feb_16"
"Greens","Donna Crepe Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Purples Lilacs","Philippa Lace Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Denver Hi Low Dress",225,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Beiges Browns","Harven Midi Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Metallics","Delores Duchess Satin Dress",159,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","a_Feb_16"
"Other","Burford Jacquard Beatrix Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Terezita Bardot Dress",95,"not in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Other","Oali Print Desdemona Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Elina Cold Shoulder Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Reds","Roxie Bell Sleeve Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Kimberley Velvet Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Metallics","Rita Metalic Stripe Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Reds","Diane Velvet Maxi Dress Ltd",225,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Reds","Lydie Sequin Dress",169,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Other","Freida Stripe Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","b_Jul_16"
"Black","Edwyna Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Reds","Mary Anne Maxi Me",225,"low stock","low stock","low stock","low stock","not in stock","low stock","low stock","b_Jul_16"
"Black","Velvet Ruby Mae Maxi Dress",195,"not in stock","not in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Greens","Angelica Drape Detail Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Greens","Alloway Jacquard Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Greens","Frankie Ombre Sequin Dress",159,"not in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Metallics","Alloway Jacquard Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Other","Ishani Stripe Shift Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Blues","Amiah Textured Midi Dress Ltd",169,"in stock","in stock","in stock","in stock","in stock","not in stock","not in stock","b_Jul_16"
"Blues","All Over Lace Reeva Maxi Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Greens","Lori Lee Cluster Short Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Greens","Lori Lee Cluster Maxi Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Blues","Alease Jersey Trim Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Rosabella Sequin Lace Dress",225,"not in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Lori Lee Cluster Maxi Sl",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Greens","Esther Bardot Jersey Dress",119,"not in stock","low stock","not in stock","not in stock","not in stock","not in stock","not in stock","b_Jul_16"
"Black","Messina Lace Trimmed Dress Ltd",249,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Onley Feather Dress",169,"not in stock","in stock","in stock","in stock","in stock","in stock","not in stock","b_Jul_16"
"Black","Guinevere Sequin Feather Dress",195,"not in stock","in stock","in stock","in stock","not in stock","in stock","low stock","b_Jul_16"
"Other","Eton Print Bryony Dress",159,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Monnisha Jacquard Dress",159,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Ervina Jacquard Pleated Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Tamley Textured Trim Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Ervina Jacquard Dress Sl",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Marjan Textured Stripe Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Abby May Structured Maxi",225,"not in stock","not in stock","not in stock","low stock","not in stock","low stock","low stock","b_Jul_16"
"Black","Maneela Jacquard Dress Sl",169,"not in stock","in stock","in stock","in stock","in stock","not in stock","low stock","b_Jul_16"
"Other","Numero Jacquard Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Other","Metallic Stripe Makena Dress",169,"not in stock","in stock","in stock","not in stock","not in stock","not in stock","not in stock","b_Jul_16"
"Metallics","Demi Ombre Sequin Dress",129,"in stock","in stock","not in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Maneela Jacquard Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Assymetric Penita",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Other","Metallic Makena Dress Sl",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Peaches Jersey Maxi Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","b_Jul_16"
"Black","Mardessa Lace Panel Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Greens","Hermione Pleat Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Assymetric Penita Sl",95,"in stock","in stock","in stock","in stock","not in stock","in stock","low stock","b_Jul_16"
"Other","Almina Jacquard Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Shimmer Trim Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Metallics","Reese Jacquard Dress",159,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Other","Exeter Burnout Dress",195,"in stock","in stock","in stock","in stock","in stock","not in stock","not in stock","b_Jul_16"
"Blues","Witney Jersey Frill Maxi Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","b_Jul_16"
"Black","Cindy Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","b_Jul_16"
"Other","Anya Jacquard Dress Sl",169,"low stock","low stock","in stock","in stock","in stock","low stock","low stock","b_Jul_16"
"Greens","Linera Lace Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","b_Jul_16"
"Blues","Witney Jersey Frill Maxi Sl",95,"low stock","low stock","in stock","in stock","low stock","low stock","not in stock","b_Jul_16"
"Black","Malik Embroidered Dress Sl",159,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Blues","Audrena Velvet Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","b_Jul_16"
"Black","Tazmin Shift Dress",139,"in stock","in stock","in stock","in stock","low stock","not in stock","in stock","b_Jul_16"
"Reds","Abriella Structured Maxi Sl",195,"low stock","low stock","not in stock","not in stock","not in stock","not in stock","not in stock","b_Jul_16"
"Metallics","Carolina Shift Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Kady Stripe Full Midi Dress",195,"in stock","low stock","not in stock","not in stock","not in stock","not in stock","not in stock","c_Jan_17"
"Metallics","Marsha Lace Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Orsay Floral Midi Dress",179,"in stock","in stock","in stock","in stock","in stock","low stock","in stock","c_Jan_17"
"Other","Alexa Lace Shift Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Black","Wendall Midi Panel Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Eyzizi Floral Shift Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Minerva Floral Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Greens","Jennifer Jacquard Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Darcy Jacquard Dress",179,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Naturals","Dee Dee Lace Dress Sl",129,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Pinks","Corwin Multi Tie Maxi",109,"in stock","in stock","in stock","in stock","in stock","not in stock","not in stock","c_Jan_17"
"Other","Hilly Colour Block Pleat Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Minerva Floral Dress Sl",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Pinks","Eveline Jacquard Short Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Esme Shift Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Tilly Stripe Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Naturals","Dee Dee Lace Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Black","Penelopea Textured Dress Me",99,"not in stock","not in stock","not in stock","not in stock","not in stock","not in stock","low stock","c_Jan_17"
"Other","Savannah Printed Maxi Dress",119,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Blues","Wonda Satin Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Pinks","Yaya Bardot Maxi Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Pinks","Darianna Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Blues","Darianna Dress",149,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","c_Jan_17"
"Other","La Paz Levin Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Penelope Floral Shift Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Metallics","Annabella Metallic Dress Me",225,"not in stock","not in stock","not in stock","not in stock","not in stock","not in stock","low stock","c_Jan_17"
"Black","Conny Jersey Tie Maxi",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Reds","Thurston Structured Maxi",189,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Pinks","Lorene Jersey Maxi Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Greys","Lori Arlie Embellished Maxi",195,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","c_Jan_17"
"Blues","Lori Arlie Embellished Maxi",195,"in stock","in stock","in stock","in stock","in stock","low stock","low stock","c_Jan_17"
"Other","Rosaria Print Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Blues","Lorene Jersey Maxi Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Doree Stripe Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Zahara Mono Maxi",179,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Panama Print Ritvina Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Elina Printed Dress",129,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","c_Jan_17"
"Other","Jacqueline Jersey Dress",89,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Other","Kishni Dress",225,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Blues","Zahara Roccabella Dress",69,"not in stock","in stock","not in stock","low stock","low stock","low stock","not in stock","c_Jan_17"
"Black","Messina Lace Trimmed Dress Ltd",69,"not in stock","not in stock","low stock","not in stock","not in stock","not in stock","not in stock","c_Jan_17"
"Other","Danni Floral Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Black","Velvet Ruby Mae Maxi Dress",59,"not in stock","not in stock","not in stock","low stock","not in stock","not in stock","not in stock","c_Jan_17"
"Black","Betsie Trim Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","c_Jan_17"
"Black","Lendra Knit Dress",95,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Reds","Valey Dress",179,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","c_Jan_17"
"Reds","Ellie Jane Jersey Maxi",119,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","c_Jan_17"
"Black","Elina Cold Shoulder Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Black","Ruby Mae Velvet Maxi Dress Sl",149,"low stock","low stock","not in stock","low stock","not in stock","not in stock","not in stock","c_Jan_17"
"Black","Terezita Bardot Dress",95,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Black","Lori Lee Cluster Maxi Sl",49,"low stock","low stock","not in stock","low stock","not in stock","not in stock","not in stock","c_Jan_17"
"Metallics","Rita Metallic Stripe Dress",79,"not in stock","low stock","not in stock","not in stock","not in stock","not in stock","not in stock","c_Jan_17"
"Blues","Alease Jersey Trim Dress",59,"in stock","low stock","low stock","low stock","low stock","low stock","not in stock","c_Jan_17"
"Blues","Witney Jersey Frill Maxi Dress",39,"not in stock","not in stock","not in stock","low stock","not in stock","not in stock","not in stock","c_Jan_17"
"Black","Assymetric Penita",49,"in stock","in stock","not in stock","not in stock","not in stock","not in stock","not in stock","c_Jan_17"
"Blues","Cara Satin Midi Dress",139,"low stock","not in stock","not in stock","not in stock","not in stock","not in stock","not in stock","c_Jan_17"
"Black","Peaches Jersey Maxi Dress",59,"low stock","low stock","low stock","not in stock","not in stock","not in stock","not in stock","c_Jan_17"
"Blues","Audrena Velvet Dress",49,"in stock","low stock","low stock","not in stock","not in stock","not in stock","not in stock","c_Jan_17"
"Black","Tazmin Shift Dress",139,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","c_Jan_17"
"Mono","Simone Tipped Bardot Dress Me",139,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Mono","Molly Print Frill Mesh Dress",89,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Multi","Mahonia Jacquard Midi Dress",159,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Multi","New Valley Print Jersey Dress",89,"low stock","low stock","low stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Black","Tyra Fur Cuff Knit Dress",109,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Black","Marissa Ruffle Shift Dress",119,"low stock","low stock","low stock","in stock","not in stock","not in stock","low stock","d_Dec_17"
"Silver","Pria Sparkle Dress",99,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","d_Dec_17"
"Merlot","Ivey Ruffle Soft Dress",169,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Black","Milla Burnout Stripe Dress",149,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Black","Jazmine Checked Dress",119,"in stock","in stock","in stock","not in stock","not in stock","not in stock","not in stock","d_Dec_17"
"Red","Isla Printed Maxi Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Black","Jassy Lurex Knit Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Black","Remy Lace Trim Knit Dress",109,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Black","Eden Lace Structured Dress",179,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Red","Kris Satin Maxi Dress",169,"low stock","in stock","in stock","in stock","in stock","low stock","low stock","d_Dec_17"
"Multi","Alisha Jacquard Dress",195,"not in stock","not in stock","not in stock","not in stock","not in stock","not in stock","low stock","d_Dec_17"
"Merlot","Imi Lace Maxi Dress",149,"in stock","low stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Forest","Imi Lace Maxi Dress",149,"in stock","in stock","in stock","in stock","in stock","not in stock","not in stock","d_Dec_17"
"Merlot","Maya Soft Velvet Midi Dress Me",139,"not in stock","not in stock","not in stock","low stock","in stock","in stock","in stock","d_Dec_17"
"Silver","Jenni Frill Maxi Dress",195,"low stock","not in stock","not in stock","low stock","not in stock","not in stock","not in stock","d_Dec_17"
"Navy","Carlotta Midi Dress",89,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Merlot","Allegro Dress",195,"not in stock","low stock","not in stock","low stock","in stock","not in stock","low stock","d_Dec_17"
"Black","Arabesque Dress",250,"low stock","in stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Silver","Plie Lace Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","d_Dec_17"
"Black","Coupe Tulle Dress",225,"low stock","in stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Gun Metal","Chasse Lace Dress",295,"not in stock","not in stock","low stock","not in stock","not in stock","not in stock","not in stock","d_Dec_17"
"Black","Pirouette Fringed Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Red","Ferrar Printed Maxi Dress",195,"in stock","in stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Green","Georgie Soft Maxi",149,"low stock","not in stock","low stock","not in stock","in stock","low stock","not in stock","d_Dec_17"
"Black","Vivianna Pleated Sequin Dress",89,"in stock","in stock","in stock","in stock","in stock","low stock","not in stock","d_Dec_17"
"Green","Zelda Lace Shift Dress",119,"not in stock","not in stock","in stock","in stock","in stock","low stock","in stock","d_Dec_17"
"Black","Libby Black Cocktail Dress",129,"low stock","low stock","low stock","low stock","low stock","in stock","low stock","d_Dec_17"
"Black","Reva Lace Shift Dress",69,"low stock","not in stock","low stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Black","Rosalind Belted Shift Dress",89,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Multi","Tilda Jacquard Dress",69,"low stock","low stock","low stock","not in stock","low stock","low stock","not in stock","d_Dec_17"
"Red","Madalina Velvet Dress",89,"in stock","in stock","in stock","in stock","in stock","low stock","low stock","d_Dec_17"
"Red","Inez Ruffle Shift Dress",59,"low stock","low stock","in stock","in stock","in stock","in stock","low stock","d_Dec_17"
"Cobalt Blue","Inez Ruffle Shift Dress",59,"not in stock","not in stock","low stock","low stock","not in stock","low stock","not in stock","d_Dec_17"
"Black","Tabia Dress",99,"in stock","in stock","in stock","in stock","low stock","not in stock","not in stock","d_Dec_17"
"Red","Zala Jacquard Midi Dress",79,"in stock","low stock","low stock","low stock","low stock","not in stock","not in stock","d_Dec_17"
"Merlot","Celestine Velvet Shift Dress",79,"not in stock","low stock","low stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Mono","Heidi Drape Mono Full Dress",150,"not in stock","not in stock","not in stock","low stock","not in stock","not in stock","not in stock","d_Dec_17"
"Black","Delores Velvet Pleated Dress",89,"in stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Black","Adella Ruffle Midi Dress",99,"low stock","low stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Navy","Jay Off Shoulder  Maxi",119,"in stock","in stock","in stock","in stock","low stock","low stock","not in stock","d_Dec_17"
"Forest","Cressida Cape Shift Dress",99,"low stock","in stock","in stock","in stock","in stock","in stock","in stock","d_Dec_17"
"Red","Nica Choker Scuba Dress",99,"in stock","in stock","in stock","in stock","in stock","in stock","not in stock","d_Dec_17"
"Black","Jocee Jacquard Dress",59,"low stock","low stock","low stock","not in stock","low stock","low stock","low stock","d_Dec_17"
"Multi","Jodie Embroidered Mesh Dress",99,"not in stock","in stock","in stock","low stock","not in stock","low stock","not in stock","d_Dec_17"
"Cobalt Blue","Jemma Sparkle Jersey Dress",99,"low stock","low stock","in stock","in stock","in stock","in stock","not in stock","d_Dec_17"
"Red","Waldorf Scuba Shift Dress",69,"not in stock","low stock","low stock","in stock","in stock","low stock","low stock","d_Dec_17"
"Gold","Tyler Soft Maxi Dress",179,"low stock","low stock","low stock","in stock","in stock","low stock","not in stock","d_Dec_17"
"Navy","Candice Lace Dress",129,"low stock","low stock","not in stock","low stock","not in stock","low stock","low stock","d_Dec_17"
"Green","Scarlett Velvet Shift Dress",89,"not in stock","not in stock","not in stock","in stock","low stock","in stock","in stock","d_Dec_17"
